"consequence","mismatch_records","maximum_absolute_difference","average_absolute_difference"
"Inhibit Response Function","175","4,80000000013803E-06","3,02965714285516E-06"
"Execution","54","4,20000000000975E-06","3,02444444442327E-06"
"Impair Process Control","29","4,00000000011502E-06","3,3182758620547E-06"
"Loss of Control","15","1,42999999996896E-06","1,42999999996896E-06"
"Remotely Triggerable Deadlock/DoS","13","4,00000000011502E-06","2,46153846162633E-06"
"Critical System Service May Be Disabled","13","4,00000000011502E-06","2,46153846162633E-06"
"Applications Binaries Modified","5","4,00000000011502E-06","2,80000000003611E-06"
"Erode ML Model Integrity","3","2,99999999997524E-06","2,66666666659532E-06"
"Hardware Fault Injection – Control Flow Modification","2","2,00000000005751E-06","1,50000000009864E-06"
